Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
Moana,"Animation, Adventure, Comedy",0.0,0.7361111111111112,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",John Musker,Don Hall,Chris Williams,Auli'i Cravalho,Ron Clements,animation adventure comedy ancient polynesia terrible curse incurred demigod maui reach moanas island answer ocean call seek demigod set thing right john musker ron clements
Sicario,"Action, Crime, Drama",0.0,0.75,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,Denis Villeneuve,action crime drama idealistic fbi agent enlisted government task force aid escalating war drug border area u mexico emily blunt denis villeneuve
Creed,"Drama, Sport",0.0,0.75,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,Ryan Coogler,drama sport former world heavyweight champion rocky balboa serf trainer mentor adonis johnson son late friend former rival apollo creed michael b jordan ryan coogler
Leviafan,"Crime, Drama",0.0,0.8888888888888888,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,Andrey Zvyagintsev,crime drama russian coastal town kolya forced fight corrupt mayor told house demolished recruit lawyer friend help man arrival brings misfortune kolya family aleksey serebryakov andrey zvyagintsev
Hell or High Water,"Action, Crime, Drama",0.0,0.8333333333333333,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,David Mackenzie,action crime drama divorced father excon older brother resort desperate scheme order save family ranch west texas chris pine david mackenzie
Philomena,"Biography, Comedy, Drama",0.0,0.6805555555555556,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,Stephen Frears,biography comedy drama worldweary political journalist pick story woman search son taken away decade ago became pregnant forced live convent judi dench stephen frears
Dawn of the Planet of the Apes,"Action, Adventure, Drama",0.0,0.7083333333333333,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee,Matt Reeves,action adventure drama growing nation genetically evolved ape led caesar threatened band human survivor devastating virus unleashed decade earlier gary oldman matt reef
Serbuan maut,"Action, Thriller",0.0,0.625,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,Gareth Evans,action thriller swat team becomes trapped tenement run ruthless mobster army killer thug iko uwais gareth evans
End of Watch,"Action, Crime, Drama",0.0,0.5555555555555556,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,David Ayer,action crime drama shot documentarystyle film follows daily grind two young police officer la partner friend happens meet criminal force greater jake gyllenhaal david ayer
Kari-gurashi no Arietti,"Animation, Adventure, Family",0.0,0.7222222222222223,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,Hiromasa Yonebayashi,animation adventure family clock family fourinchtall people live anonymously another family residence borrowing simple item make home life change clock teenage daughter arrietty discovered amy poehler hiromasa yonebayashi
