Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
The Shawshank Redemption,Drama,1.0,0.7222222222222223,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Frank Darabont,drama two imprisoned men bond number year finding solace eventual redemption act common decency tim robbins frank darabont
The Godfather,"Crime, Drama",0.9411764705882346,1.0,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Marlon Brando,Al Pacino,James Caan,Diane Keaton,Francis Ford Coppola,crime drama organized crime dynasty aging patriarch transfer control clandestine empire reluctant son marlon brando francis ford coppola
The Dark Knight,"Action, Crime, Drama",0.8235294117647056,0.7777777777777777,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Christopher Nolan,action crime drama menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice christian bale christopher nolan
The Godfather: Part II,"Crime, Drama",0.8235294117647056,0.8611111111111112,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,Francis Ford Coppola,crime drama early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate al pacino francis ford coppola
12 Angry Men,"Crime, Drama",0.8235294117647056,0.9444444444444444,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,Sidney Lumet,crime drama jury holdout attempt prevent miscarriage justice forcing colleague reconsider evidence henry fonda sidney lumet
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",0.7647058823529411,0.9166666666666667,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Peter Jackson,action adventure drama gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring elijah wood peter jackson
Pulp Fiction,"Crime, Drama",0.7647058823529411,0.9166666666666667,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,Quentin Tarantino,crime drama life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption john travolta quentin tarantino
Schindler's List,"Biography, Drama, History",0.7647058823529411,0.9166666666666667,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,Steven Spielberg,biography drama history germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi liam neeson steven spielberg
Inception,"Action, Adventure, Sci-Fi",0.7058823529411766,0.6388888888888888,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Christopher Nolan,action adventure scifi thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo leonardo dicaprio christopher nolan
Fight Club,Drama,0.7058823529411766,0.5277777777777778,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,David Fincher,drama insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much brad pitt david fincher
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",0.7058823529411766,0.8888888888888888,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Peter Jackson,action adventure drama meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron elijah wood peter jackson
Forrest Gump,"Drama, Romance",0.7058823529411766,0.75,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Robert Zemeckis,drama romance presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart tom hank robert zemeckis
"Il buono, il brutto, il cattivo",Western,0.7058823529411766,0.8611111111111112,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Sergio Leone,western bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery clint eastwood sergio leone
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",0.6470588235294112,0.8194444444444444,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Peter Jackson,action adventure drama frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard elijah wood peter jackson
The Matrix,"Action, Sci-Fi",0.6470588235294112,0.625,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lana Wachowski,action scifi beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence lilly wachowski lana wachowski
Goodfellas,"Biography, Crime, Drama",0.6470588235294112,0.8611111111111112,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Martin Scorsese,biography crime drama story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate robert de niro martin scorsese
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",0.6470588235294112,0.75,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Irvin Kershner,action adventure fantasy rebel brutally overpowered empire ice planet hoth luke skywalker begin jedi training yoda friend pursued darth vader bounty hunter named boba fett galaxy mark hamill irvin kershner
One Flew Over the Cuckoo's Nest,Drama,0.6470588235294112,0.7638888888888888,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,Milos Forman,drama criminal pleads insanity admitted mental institution rebel oppressive nurse rally scared patient jack nicholson milo forman
Gisaengchung,"Comedy, Drama, Thriller",0.5882352941176467,0.9444444444444444,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,Bong Joon Ho,comedy drama thriller greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan kangho song bong joon ho
Interstellar,"Adventure, Drama, Sci-Fi",0.5882352941176467,0.6388888888888888,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,Christopher Nolan,adventure drama scifi team explorer travel wormhole space attempt ensure humanity survival matthew mcconaughey christopher nolan
Cidade de Deus,"Crime, Drama",0.5882352941176467,0.7083333333333333,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Fernando Meirelles,crime drama slum rio two kid path diverge one struggle become photographer kingpin kátia lund fernando meirelles
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",0.5882352941176467,0.9444444444444444,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,Hayao Miyazaki,animation adventure family family move suburb sullen 10yearold girl wanders world ruled god witch spirit human changed beast daveigh chase hayao miyazaki
Saving Private Ryan,"Drama, War",0.5882352941176467,0.875,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,Steven Spielberg,drama war following normandy landing group u soldier go behind enemy line retrieve paratrooper whose brother killed action tom hank steven spielberg
The Green Mile,"Crime, Drama, Fantasy",0.5882352941176467,0.45833333333333337,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,Frank Darabont,crime drama fantasy life guard death row affected one charge black man accused child murder rape yet mysterious gift tom hank frank darabont
La vita è bella,"Comedy, Drama, Romance",0.5882352941176467,0.4305555555555556,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Roberto Benigni,comedy drama romance openminded jewish librarian son become victim holocaust us perfect mixture humor imagination protect son danger around camp roberto benigni roberto benigni
Se7en,"Crime, Drama, Mystery",0.5882352941176467,0.5138888888888888,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,David Fincher,crime drama mystery two detective rookie veteran hunt serial killer us seven deadly sin motif morgan freeman david fincher
The Silence of the Lambs,"Crime, Drama, Thriller",0.5882352941176467,0.7916666666666667,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,Jonathan Demme,crime drama thriller young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skin victim jodie foster jonathan demme
Star Wars,"Action, Adventure, Fantasy",0.5882352941176467,0.8611111111111112,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,George Lucas,action adventure fantasy luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empire worlddestroying battle station also attempting rescue princess leia mysterious darth vader mark hamill george lucas
Shichinin no samurai,"Action, Adventure, Drama",0.5882352941176467,0.9722222222222221,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Akira Kurosawa,action adventure drama poor village attack bandit recruit seven unemployed samurai help defend toshirô mifune akira kurosawa
Joker,"Crime, Drama, Thriller",0.5294117647058822,0.4305555555555556,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Todd Phillips,crime drama thriller gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings facetoface alterego joker joaquin phoenix todd phillips
Whiplash,"Drama, Music",0.5294117647058822,0.8333333333333333,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,Damien Chazelle,drama music promising young drummer enrolls cutthroat music conservatory dream greatness mentored instructor stop nothing realize student potential mile teller damien chazelle
The Intouchables,"Biography, Comedy, Drama",0.5294117647058822,0.4027777777777778,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,Olivier Nakache,biography comedy drama becomes quadriplegic paragliding accident aristocrat hire young man project caregiver éric toledano olivier nakache
The Prestige,"Drama, Mystery, Sci-Fi",0.5294117647058822,0.5277777777777778,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Christopher Nolan,drama mystery scifi tragic accident two stage magician engage battle create ultimate illusion sacrificing everything outwit christian bale christopher nolan
The Departed,"Crime, Drama, Thriller",0.5294117647058822,0.7916666666666667,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Scorsese,crime drama thriller undercover cop mole police attempt identify infiltrating irish gang south boston leonardo dicaprio martin scorsese
The Pianist,"Biography, Drama, Music",0.5294117647058822,0.7916666666666667,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,Roman Polanski,biography drama music polish jewish musician struggle survive destruction warsaw ghetto world war ii adrien brody roman polanski
Gladiator,"Action, Adventure, Drama",0.5294117647058822,0.5416666666666666,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Ridley Scott,action adventure drama former roman general set exact vengeance corrupt emperor murdered family sent slavery russell crowe ridley scott
American History X,Drama,0.5294117647058822,0.4722222222222222,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Tony Kaye,drama former neonazi skinhead try prevent younger brother going wrong path edward norton tony kaye
The Usual Suspects,"Crime, Mystery, Thriller",0.5294117647058822,0.6805555555555556,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,Bryan Singer,crime mystery thriller sole survivor tell twisty event leading horrific gun battle boat began five criminal met seemingly random police lineup kevin spacey bryan singer
Léon,"Action, Crime, Drama",0.5294117647058822,0.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Luc Besson,action crime drama mathilda 12yearold girl reluctantly taken léon professional assassin family murdered unusual relationship form becomes protégée learns assassin trade jean reno luc besson
The Lion King,"Animation, Adventure, Drama",0.5294117647058822,0.8333333333333333,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,Roger Allers,animation adventure drama lion prince simba father targeted bitter uncle want ascend throne rob minkoff roger allers
Terminator 2: Judgment Day,"Action, Sci-Fi",0.5294117647058822,0.6527777777777777,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,James Cameron,action scifi cyborg identical one failed kill sarah connor must protect teenage son john connor advanced powerful cyborg arnold schwarzenegger james cameron
Nuovo Cinema Paradiso,"Drama, Romance",0.5294117647058822,0.7222222222222223,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,Giuseppe Tornatore,drama romance filmmaker recall childhood falling love picture cinema home village form deep friendship cinema projectionist philippe noiret giuseppe tornatore
Back to the Future,"Adventure, Comedy, Sci-Fi",0.5294117647058822,0.8194444444444444,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Robert Zemeckis,adventure comedy scifi marty mcfly 17yearold high school student accidentally sent thirty year past timetraveling delorean invented close friend eccentric scientist doc brown michael j fox robert zemeckis
Once Upon a Time in the West,Western,0.5294117647058822,0.7222222222222223,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,Sergio Leone,western mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroad henry fonda sergio leone
Psycho,"Horror, Mystery, Thriller",0.5294117647058822,0.9583333333333333,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Alfred Hitchcock,horror mystery thriller phoenix secretary embezzles 40000 employer client go run check remote motel run young man domination mother anthony perkins alfred hitchcock
Casablanca,"Drama, Romance, War",0.5294117647058822,1.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Michael Curtiz,drama romance war cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco humphrey bogart michael curtiz
Modern Times,"Comedy, Drama, Family",0.5294117647058822,0.9444444444444444,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Charles Chaplin,comedy drama family tramp struggle live modern industrial society help young homeless woman charles chaplin charles chaplin
City Lights,"Comedy, Drama, Romance",0.5294117647058822,0.9861111111111112,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Charles Chaplin,comedy drama romance aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medically charles chaplin charles chaplin
Capharnaüm,Drama,0.47058823529411775,0.6527777777777777,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,Nadine Labaki,drama serving fiveyear sentence violent crime 12yearold boy sue parent neglect zain al rafeea nadine labaki
Kimi no na wa.,"Animation, Drama, Fantasy",0.47058823529411775,0.7083333333333333,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,Makoto Shinkai,animation drama fantasy two stranger find linked bizarre way connection form distance thing keep apart ryûnosuke kamiki makoto shinkai
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",0.47058823529411775,0.8194444444444444,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Bob Persichetti,animation action adventure teen mile morale becomes spiderman universe must join five spiderpowered individual dimension stop threat reality peter ramsey bob persichetti
Avengers: Endgame,"Action, Adventure, Drama",0.47058823529411775,0.6944444444444444,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Anthony Russo,action adventure drama devastating event avenger infinity war 2018 universe ruin help remaining ally avenger assemble order reverse thanos action restore balance universe joe russo anthony russo
Avengers: Infinity War,"Action, Adventure, Sci-Fi",0.47058823529411775,0.5555555555555556,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Anthony Russo,action adventure scifi avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe joe russo anthony russo
Coco,"Animation, Adventure, Family",0.47058823529411775,0.7361111111111112,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Lee Unkrich,animation adventure family aspiring musician miguel confronted family ancestral ban music enters land dead find greatgreatgrandfather legendary singer adrian molina lee unkrich
Django Unchained,"Drama, Western",0.47058823529411775,0.7361111111111112,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Quentin Tarantino,drama western help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner jamie foxx quentin tarantino
The Dark Knight Rises,"Action, Adventure",0.47058823529411775,0.6944444444444444,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Christopher Nolan,action adventure eight year joker reign anarchy batman help enigmatic catwoman forced exile save gotham city brutal guerrilla terrorist bane christian bale christopher nolan
3 Idiots,"Comedy, Drama",0.47058823529411775,0.5416666666666666,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,Rajkumar Hirani,comedy drama two friend searching long lost companion revisit college day recall memory friend inspired think differently even rest world called idiot aamir khan rajkumar hirani
WALL·E,"Animation, Adventure, Family",0.47058823529411775,0.9305555555555556,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,Andrew Stanton,animation adventure family distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind ben burtt andrew stanton
The Lives of Others,"Drama, Mystery, Thriller",0.47058823529411775,0.8472222222222221,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,Florian Henckel von Donnersmarck,drama mystery thriller 1984 east berlin agent secret police conducting surveillance writer lover find becoming increasingly absorbed life ulrich mühe florian henckel von donnersmarck
Oldeuboi,"Action, Drama, Mystery",0.47058823529411775,0.6805555555555556,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,Chan-wook Park,action drama mystery kidnapped imprisoned fifteen year oh daesu released find must find captor five day choi minsik chanwook park
Memento,"Mystery, Thriller",0.47058823529411775,0.7222222222222223,A man with short-term memory loss attempts to track down his wife's murderer.,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Christopher Nolan,mystery thriller man shortterm memory loss attempt track wife murderer guy pearce christopher nolan
Mononoke-hime,"Animation, Action, Adventure",0.47058823529411775,0.6666666666666667,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Hayao Miyazaki,animation action adventure journey find cure tatarigamis curse ashitaka find middle war forest god tatara mining colony quest also meet san mononoke hime yôji matsuda hayao miyazaki
Raiders of the Lost Ark,"Action, Adventure",0.47058823529411775,0.7916666666666667,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Steven Spielberg,action adventure 1936 archaeologist adventurer indiana jones hired u government find ark covenant adolf hitler nazi obtain awesome power harrison ford steven spielberg
The Shining,"Drama, Horror",0.47058823529411775,0.5277777777777778,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Stanley Kubrick,drama horror family head isolated hotel winter sinister presence influence father violence psychic son see horrific foreboding past future jack nicholson stanley kubrick
Apocalypse Now,"Drama, Mystery, War",0.47058823529411775,0.9166666666666667,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Francis Ford Coppola,drama mystery war u army officer serving vietnam tasked assassinating renegade special force colonel see god martin sheen francis ford coppola
Alien,"Horror, Sci-Fi",0.47058823529411775,0.8472222222222221,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Ridley Scott,horror scifi space merchant vessel receives unknown transmission distress call one crew attacked mysterious life form soon realize life cycle merely begun sigourney weaver ridley scott
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,0.47058823529411775,0.9583333333333333,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Stanley Kubrick,comedy insane general trigger path nuclear holocaust war room full politician general frantically try stop peter seller stanley kubrick
Rear Window,"Mystery, Thriller",0.47058823529411775,1.0,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Alfred Hitchcock,mystery thriller wheelchairbound photographer spy neighbor apartment window becomes convinced one committed murder james stewart alfred hitchcock
1917,"Drama, Thriller, War",0.41176470588235325,0.6944444444444444,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,Sam Mendes,drama thriller war april 6th 1917 regiment assembles wage war deep enemy territory two soldier assigned race time deliver message stop 1600 men walking straight deadly trap deancharles chapman sam mendes
Jagten,Drama,0.41176470588235325,0.6805555555555556,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,Thomas Vinterberg,drama teacher life lonely life struggling son custody life slowly get better find love receives good news son new luck brutally shattered innocent little lie mads mikkelsen thomas vinterberg
Jodaeiye Nader az Simin,Drama,0.41176470588235325,0.9305555555555556,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,Asghar Farhadi,drama married couple faced difficult decision improve life child moving another country stay iran look deteriorating parent alzheimers disease payman maadi asghar farhadi
Incendies,"Drama, Mystery, War",0.41176470588235325,0.7222222222222223,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,Denis Villeneuve,drama mystery war twin journey middle east discover family history fulfill mother last wish lubna azabal denis villeneuve
Inglourious Basterds,"Adventure, Drama, War",0.41176470588235325,0.5694444444444444,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,Quentin Tarantino,adventure drama war nazioccupied france world war ii plan assassinate nazi leader group jewish u soldier coincides theatre owner vengeful plan brad pitt quentin tarantino
